Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,categorical infant deaths,Alcohol,percentage expenditure,categorical percentage expenditure,Hepatitis B,Measles ,categorical Measles, BMI ,under-five deaths ,categorical under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,categorical Income composition of resources,Schooling
Maldives,2003,Developing,72.7,112,0,0,1.75,491.4978908,f100-1000,98,75,10+,16.7,0,0,98,5.9,98,0.1,3432.247841,34,14.6,14.7,0.601,f0.5-1,11.8
Maldives,2009,Developing,76.3,75,0,0,1.59,100.503021,f100-1000,98,6,f1-10,21.2,0,0,98,9.22,98,0.1,597.1659,36,14.1,14.2,0.651,f0.5-1,11.8
Maldives,2014,Developing,78.2,62,0,0,0.01,2051.748615,1000+,99,0,0,26.2,0,0,99,13.73,99,0.1,7716.2415,41,13.6,13.7,0.693,f0.5-1,12.7
Georgia,2008,Developing,73.9,128,1,f1-2,7.17,151.762567,f100-1000,89,56,10+,5.5,1,f1-2,9,8.99,92,0.1,3174.9491,43,2.6,2.8,0.735,f0.5-1,13.1
Tonga,2008,Developing,72.6,145,0,0,1.1,569.6255035,f100-1000,84,0,0,71.5,0,0,88,5.13,86,0.1,3392.64743,135,0.1,0.1,0.698,f0.5-1,14.5
Tonga,2004,Developing,72.2,151,0,0,1.8,423.2953509,f100-1000,9,0,0,68.6,0,0,91,4.87,9,0.1,2284.37858,146,0.1,0.1,0.693,f0.5-1,14.6
Maldives,2000,Developing,69.6,139,0,0,1.83,300.1621026,f100-1000,96,20,10+,15.2,0,0,98,8,98,0.1,2182.99711,286,14.8,14.8,0.577,f0.5-1,11.3
Maldives,2001,Developing,78,129,0,0,1.98,41.30688803,f0-100,98,0,0,15.6,0,0,97,5.84,98,0.1,298.67598,292,14.7,14.8,0.587,f0.5-1,11.8
Maldives,2002,Developing,71.8,124,0,0,1.95,4.299053392,f0-100,98,926,10+,16.2,0,0,98,5.78,98,0.1,32.37239,297,14.6,14.7,0.597,f0.5-1,12
Maldives,2004,Developing,73.4,16,0,0,1.6,611.9093566,f100-1000,97,37,10+,17.3,0,0,96,5.89,96,0.1,3853.33348,312,14.5,14.6,0.617,f0.5-1,12.2
Maldives,2005,Developing,74.3,93,0,0,1.47,620.9518909,f100-1000,98,1395,10+,18,0,0,98,9.52,98,0.1,3488.493769,321,14.4,14.5,0.625,f0.5-1,12.1
Maldives,2006,Developing,75,88,0,0,1.62,659.8499118,f100-1000,98,47,10+,18.7,0,0,98,7.37,98,0.1,4428.522898,333,14.3,14.5,0.622,f0.5-1,12
Maldives,2007,Developing,75.4,82,0,0,1.78,6.491488598,f0-100,98,20,10+,19.5,0,0,98,6.64,98,0.1,52.862285,349,14.3,14.4,0.632,f0.5-1,11.9
Maldives,2008,Developing,75.9,81,0,0,1.76,1077.712092,1000+,98,0,0,2.3,0,0,98,9.3,98,0.1,5828.621374,362,14.2,14.3,0.641,f0.5-1,11.8
Maldives,2010,Developing,76.7,73,0,0,1.83,91.13971812,f0-100,97,0,0,22.1,0,0,97,7.93,96,0.1,633.79498,367,14,14.1,0.653,f0.5-1,11.6
Maldives,2011,Developing,77.3,67,0,0,1.92,1079.893546,1000+,96,0,0,23.1,0,0,96,8.11,96,0.1,6497.55443,377,13.9,14,0.663,f0.5-1,11.8
Maldives,2012,Developing,77.6,65,0,0,0.01,1259.940376,1000+,99,0,0,24.1,0,0,99,9.16,99,0.1,6541.7465,385,13.8,13.9,0.675,f0.5-1,12.1
